lat,lon,value,date
4.3734917,-76.1370094,0,01/09/25
4.3774454,-76.1438423,0,01/09/25
4.3766619,-76.1438293,0,01/09/25
4.3759755,-76.1439335,0,01/09/25
4.376035,-76.1431405,0,01/09/25
4.3760185,-76.142306,0,01/09/25
4.3758176,-76.1413615,0,01/09/25
4.3761828,-76.1404483,0,01/09/25
4.3762294,-76.140767,0,01/09/25
4.3762081,-76.1413492,0,01/09/25
4.3761858,-76.1402985,0,01/09/25
4.3757244,-76.1404727,0,01/09/25
4.375313,-76.1398623,0,01/09/25
4.374825,-76.1392186,0,01/09/25
4.3743696,-76.138496,0,01/09/25
4.3738932,-76.1377574,0,01/09/25
4.3744587,-76.1364318,0,01/09/25
4.3770988,-76.1375633,0,01/09/25
4.3771831,-76.1386301,0,01/09/25
4.3772252,-76.1399159,0,01/09/25
4.3764394,-76.1402394,0,01/09/25
4.3762791,-76.1391381,0,01/09/25
4.376011,-76.1392202,0,01/09/25
4.3759789,-76.137977,0,01/09/25
4.3757024,-76.1380873,0,01/09/25
4.3751669,-76.137161,0,01/09/25
4.3750646,-76.1362923,300,01/09/25
4.3768925,-76.1428664,200,01/09/25
4.3767897,-76.1421978,200,01/09/25
4.3758372,-76.1407638,100,01/09/25
